Zaman damgası,Kullanıcı Adı,Age Group / Yaş Aralığınız ,  Gender / Cinsiyet  ,"How many hours per day do you use social media on average? 
/ Günde ortalama kaç saat sosyal medya kullanıyorsunuz?","Which social media platforms do you actively use? 
/ Aktif olarak hangi sosyal medya platformlarını kullanıyorsunuz?","Do you encounter travel-related posts on social media? 
/ Sosyal medyada seyahatle ilgili paylaşımlara denk geliyor musunuz?","Have you ever discovered a place (restaurant/cafe, exhibition etc) you wanted to visit through social media? 
/ Sosyal medya sayesinde gitmek istediğiniz bir yer (restoran, kafe, sergi vb.) keşfettiniz mi?","What type of travel content influences you the most?
/ Sizi en çok etkileyen seyahat içerikleri hangileridir?","Do you encounter location specific food/event recommendation posts on social media? 
/ Sosyal medyada belirli bir yerle ilgili yemek/etkinlik öneren paylaşımlara rastlıyor musunuz?","When you see a travel-related post you like, what do you usually do?
/ Beğendiğiniz bir seyahat paylaşımı gördüğünüzde genellikle ne yaparsınız?","Do you use saved posts as a reference when planning a trip?
/ Seyahat planlarken kaydettiğiniz gönderileri referans olarak kullanır mısınız?","Before visiting a destination, do you remember travel posts you previously saw?
/ Bir mekana gitmeden önce daha önce gördüğünüz seyahat paylaşımlarını hatırlar mısınız?","How do you usually find those places again?
/ Bu yerleri tekrar nasıl bulursunuz?","Have you ever forgotten or lost a place you wanted to visit because you couldn’t find the post again?
/ Gönderiyi tekrar bulamadığınız için gitmek istediğiniz bir yeri unuttuğunuz veya kaybettiğiniz oldu mu? ","Do you think social media contains up-to-date and local travel trends?
/ Sosyal medyanın güncel ve yerel seyahat trendlerini yansıttığını düşünüyor musunuz?","Would you use a system that automatically collects, organizes, and suggests trending places from social media?
/ Sosyal medyadaki trend yerleri otomatik olarak toplayan, düzenleyen ve öneren bir sistemi kullanır mıydınız?"," What would be the biggest benefit of such a system for you?
/ Böyle bir sistemin sizin için en büyük faydası ne olurdu?"
2025/12/26 12:26:15 ÖÖ GMT+3,,18-24,Male / Erkek,1-2 hours / 1-2 saat,"Instagram;YouTube;X (Twitter);Discord, telegram",2,No / Hayır,Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Local experiences / Yerel deneyimler,1,Save the post / Gönderiyi kaydederim,4,No / Hayır,Checking saved posts / Kaydedilen gönderilere bakarak,No / Hayır,Yes / Evet,Probably yes / Muhtemelen evet,
2025/12/26 12:28:38 ÖÖ GMT+3,,25-34,Female / Kadın,Less than 1 hour / 1 saatten az,YouTube,2,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler,3,Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,4,Partially / Kısmen,Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,Arkadaşlarımla ortak meraklarımız olur
2025/12/26 12:40:15 ÖÖ GMT+3,,18-24,Male / Erkek,1-2 hours / 1-2 saat,"Instagram;YouTube;X (Twitter);Discord, telegram",3,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Local experiences / Yerel deneyimler,3,Do nothing / Hiçbir şey yapmam,2,Partially / Kısmen,I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Partially / Kısmen,Definitely yes / Kesinlikle evet,Gezip görmeye değer yerleri bulmamı kolaylaştırır
2025/12/26 12:44:51 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,3,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Events & festivals / Etkinlikler & festivaller;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Definitely yes / Kesinlikle evet,
2025/12/26 12:46:55 ÖÖ GMT+3,,25-34,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,3,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,2,Screenshot / Ekran görüntüsü alırım,4,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak,No / Hayır,Partially / Kısmen,Definitely yes / Kesinlikle evet,
2025/12/26 12:47:29 ÖÖ GMT+3,,18-24,Female / Kadın,1-2 hours / 1-2 saat,Instagram;YouTube;X (Twitter),4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,1,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Asking friends / Arkadaşlara sorarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,Benim seyahat planlarıma uygun ve kaybolmayacak şekilde tüm bilgilerin saklanması
2025/12/26 12:49:15 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,4,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar;Museums & exhibitions / Müze & sergiler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,3,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Asking friends / Arkadaşlara sorarak,Yes / Evet,Yes / Evet,Probably yes / Muhtemelen evet,"Arama motoru ile gitmeyi planladığım yerleri aratarak çeşitli alternatif gezi rotaları, yemek için mekanlar bulmam kolaylaşırdı.
"
2025/12/26 1:00:35 ÖÖ GMT+3,,18-24,Male / Erkek,3-4 hours / 3-4 saat,YouTube,2,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller,1,Like or comment / Beğenir veya yorum yaparım,4,Partially / Kısmen,Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak;I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Partially / Kısmen,Not sure / Emin değilim,
2025/12/26 1:02:23 ÖÖ GMT+3,,13-18,Female / Kadın,5+ hours / 5 saatten fazla,Instagram;TikTok;YouTube,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Like or comment / Beğenir veya yorum yaparım,4,No / Hayır,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,"This system makes it incredibly easy to find posts related to where I want to work among the dozens of posts I've saved, and that makes me very happy."
2025/12/26 1:02:45 ÖÖ GMT+3,,25-34,Female / Kadın,3-4 hours / 3-4 saat,YouTube,4,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,3,Do nothing / Hiçbir şey yapmam,2,Partially / Kısmen,Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,"Have a clear idea where should I go, with the experiences of people in the comments"
2025/12/26 1:17:17 ÖÖ GMT+3,,18-24,Male / Erkek,3-4 hours / 3-4 saat,Instagram;YouTube,2,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Museums & exhibitions / Müze & sergiler,4,Send it to friends / Arkadaşlarıma gönderirim,3,Partially / Kısmen,Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,Alışkanlığım olmayan bir şeyi kolaylaştırdığı için alışkanlık edinebilirim
2025/12/26 1:28:54 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram,3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,1,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Asking friends / Arkadaşlara sorarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Definitely yes / Kesinlikle evet,"The biggest benefit would probably be not having to go through the hassle of searching and looking and planning, the system would just make it much easier to find good places without having to do all the extra work. "
2025/12/26 1:39:38 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,4,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar;Museums & exhibitions / Müze & sergiler,2,Save the post / Gönderiyi kaydederim,1,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak,Yes / Evet,Partially / Kısmen,Definitely yes / Kesinlikle evet,
2025/12/26 2:32:48 ÖÖ GMT+3,,18-24,Female / Kadın,5+ hours / 5 saatten fazla,TikTok;X (Twitter),4,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,Probably yes / Muhtemelen evet,
2025/12/26 3:57:55 ÖÖ GMT+3,,18-24,Male / Erkek,1-2 hours / 1-2 saat,Instagram;YouTube,2,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Local experiences / Yerel deneyimler,2,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,3,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak,No / Hayır,Partially / Kısmen,Definitely yes / Kesinlikle evet,Daha hızlı ve uygun fiyatlı gezi
2025/12/26 5:55:41 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;TikTok;YouTube;Watsapp,3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,Seyahat planlamasında kolaylık sağlardı 
2025/12/26 6:04:20 ÖÖ GMT+3,,18-24,Female / Kadın,1-2 hours / 1-2 saat,YouTube;Linkedin ,3,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,3,Save the post / Gönderiyi kaydederim;Screenshot / Ekran görüntüsü alırım,3,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak,Yes / Evet,Partially / Kısmen,Definitely yes / Kesinlikle evet,Vakit kaybetmeden gündemdeki gideceğim yere dair seyahat trendlerini takip etmek ve hızlıca erişebilmek
2025/12/26 6:16:59 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Definitely yes / Kesinlikle evet,Instagram içeriklerini hedef alan bir arama butonu olmadığı için mekan önerilerinin tek bir yerde toplaması ve farklı insanların aynı yerle ilgili yorum/içeriklerini görmek çok iyi olurdu
2025/12/26 6:20:11 ÖÖ GMT+3,,18-24,Male / Erkek,1-2 hours / 1-2 saat,YouTube,3,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller,3,Screenshot / Ekran görüntüsü alırım,3,Partially / Kısmen,Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Not sure / Emin değilim,
2025/12/26 6:30:28 ÖÖ GMT+3,,13-18,Female / Kadın,3-4 hours / 3-4 saat,Instagram;TikTok,2,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Events & festivals / Etkinlikler & festivaller;Local experiences / Yerel deneyimler,2,Save the post / Gönderiyi kaydederim;Like or comment / Beğenir veya yorum yaparım,2,Partially / Kısmen,Searching social media again / Sosyal medyada tekrar aratarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,
2025/12/26 7:22:45 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,4,Partially / Kısmen,I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,ı would have the opportunity to explore new places and restaurants with my loved ones and never forget the good ones 
2025/12/26 7:24:25 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,TikTok;X (Twitter),3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,3,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Asking friends / Arkadaşlara sorarak,No / Hayır,Partially / Kısmen,Probably yes / Muhtemelen evet,"düşünme bekleme gibi zaman kayıplarından arınarak, kolaylıkla; mekan, gezi, müze, sergi bulabilirdim. Sosyalleşme kolaylığı ve samandan kazanç sağlardı"
2025/12/26 7:30:21 ÖÖ GMT+3,,18-24,Male / Erkek,1-2 hours / 1-2 saat,Instagram;YouTube,4,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar;Museums & exhibitions / Müze & sergiler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,2,Partially / Kısmen,Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Not sure / Emin değilim,
2025/12/26 8:05:32 ÖÖ GMT+3,,18-24,Female / Kadın,5+ hours / 5 saatten fazla,Instagram;TikTok;YouTube,4,"Yes, frequently / Evet, sık sık",Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler,4,Save the post / Gönderiyi kaydederim,1,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak,No / Hayır,Yes / Evet,Probably yes / Muhtemelen evet,Gezmeyi seven biri olarak. Güncelin dışında farklı bir etkinlik olursa hemen deneyimleyebiliriz.
2025/12/26 8:24:31 ÖÖ GMT+3,,18-24,Male / Erkek,Less than 1 hour / 1 saatten az,YouTube,2,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar,2,Save the post / Gönderiyi kaydederim,3,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak,No / Hayır,Partially / Kısmen,Not sure / Emin değilim,
2025/12/26 8:26:57 ÖÖ GMT+3,,18-24,Female / Kadın,5+ hours / 5 saatten fazla,Instagram;YouTube;X (Twitter),4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Not sure / Emin değilim,Toplu bir şekilde ulaşabilmek istediklerimi bulmamı kolaylaştırıp daha düzenli hale getirirdi bence. Zaten çok fazla bilgiye ve gereksiz şeylere maruz kalıyoruz en azından bu tarz şeylerin bir yerde olması işimizi kolaylaştırır
2025/12/26 8:43:06 ÖÖ GMT+3,,18-24,Female / Kadın,1-2 hours / 1-2 saat,Instagram;YouTube,2,No / Hayır,Natural places / Doğal alanlar,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,4,Partially / Kısmen,I cannot find them again / Tekrar bulamıyorum,No / Hayır,No / Hayır,Not sure / Emin değilim,Sosyal medyada her şey temiz değil. Birisi bir durumu överken aslında beğenmemiş olabiliyor. Bu yüzden sanırım bir faydası dokunmazdı
2025/12/26 8:46:53 ÖÖ GMT+3,,18-24,Female / Kadın,1-2 hours / 1-2 saat,Instagram;YouTube,3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,2,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,
2025/12/26 8:54:22 ÖÖ GMT+3,,18-24,Male / Erkek,1-2 hours / 1-2 saat,Instagram;X (Twitter),3,No / Hayır,Natural places / Doğal alanlar,3,Do nothing / Hiçbir şey yapmam,4,No / Hayır,Using Google Maps / Google Maps kullanarak,No / Hayır,No / Hayır,No / Hayır,
2025/12/26 8:58:27 ÖÖ GMT+3,,18-24,Female / Kadın,Less than 1 hour / 1 saatten az,Instagram;YouTube,3,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak;Using Google Maps / Google Maps kullanarak,No / Hayır,Yes / Evet,Probably yes / Muhtemelen evet,Prevent wasting time
2025/12/26 9:04:39 ÖÖ GMT+3,,25-34,Female / Kadın,3-4 hours / 3-4 saat,YouTube,4,"Yes, occasionally / Evet, bazen",Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim;Screenshot / Ekran görüntüsü alırım,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak;I cannot find them again / Tekrar bulamıyorum,Yes / Evet,Partially / Kısmen,Definitely yes / Kesinlikle evet,"Temel turistik noktalara ek olarak bölgede o an populer olan festival, etkinlik vb.'yi kolaylıkla öğrenmek"
2025/12/26 9:05:02 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube;X (Twitter),4,"Yes, occasionally / Evet, bazen",Local experiences / Yerel deneyimler,4,Send it to friends / Arkadaşlarıma gönderirim,2,Partially / Kısmen,Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,Önceden beğendiğim yerleri unutmamış olurdum. 
2025/12/26 9:12:58 ÖÖ GMT+3,,45+,Male / Erkek,1-2 hours / 1-2 saat,YouTube,4,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar;Local experiences / Yerel deneyimler,4,Do nothing / Hiçbir şey yapmam,1,"Yes, clearly / Evet, net bir şekilde",Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,No / Hayır,Partially / Kısmen,Probably yes / Muhtemelen evet,zaman tasarrufu
2025/12/26 9:25:30 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;TikTok,3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Send it to friends / Arkadaşlarıma gönderirim,3,Partially / Kısmen,Searching social media again / Sosyal medyada tekrar aratarak,Yes / Evet,Yes / Evet,Probably yes / Muhtemelen evet,
2025/12/26 9:27:53 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;TikTok;YouTube;X (Twitter),3,"Yes, occasionally / Evet, bazen",Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler;Local experiences / Yerel deneyimler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,3,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,
2025/12/26 9:40:31 ÖÖ GMT+3,,25-34,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube,4,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,4,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,"En büyük katkısı derli toplu bir planlama yapmak kolaylaşırdi. Ayrıca bir gezi/aktivite şablonu gibi kullanılabilir.
En kısa zamanda bu projeyi bekliyoruzzzz. "
2025/12/26 9:51:09 ÖÖ GMT+3,,25-34,Female / Kadın,1-2 hours / 1-2 saat,YouTube,3,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Local experiences / Yerel deneyimler,3,Screenshot / Ekran görüntüsü alırım,4,"Yes, clearly / Evet, net bir şekilde",Using Google Maps / Google Maps kullanarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,
2025/12/26 10:18:14 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube;LinkedIn ,3,"Yes, occasionally / Evet, bazen",Cafes & restaurants / Kafe & restoranlar;Natural places / Doğal alanlar,3,Screenshot / Ekran görüntüsü alırım,2,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,
2025/12/26 10:19:55 ÖÖ GMT+3,,35-44,Female / Kadın,1-2 hours / 1-2 saat,YouTube,3,"Yes, frequently / Evet, sık sık",Natural places / Doğal alanlar;Events & festivals / Etkinlikler & festivaller;Museums & exhibitions / Müze & sergiler,4,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,1,"Yes, clearly / Evet, net bir şekilde",Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,No / Hayır,Yes / Evet,Probably yes / Muhtemelen evet,Fonksiyonel ve kolay ulaşılabilir olması
2025/12/26 10:38:50 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;TikTok;YouTube,3,"Yes, frequently / Evet, sık sık",Cafes & restaurants / Kafe & restoranlar;Events & festivals / Etkinlikler & festivaller,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,1,Partially / Kısmen,Checking saved posts / Kaydedilen gönderilere bakarak;Searching social media again / Sosyal medyada tekrar aratarak;Asking friends / Arkadaşlara sorarak,Yes / Evet,Partially / Kısmen,Probably yes / Muhtemelen evet,
2025/12/26 10:55:22 ÖÖ GMT+3,,18-24,Female / Kadın,3-4 hours / 3-4 saat,Instagram;YouTube;X (Twitter),3,"Yes, occasionally / Evet, bazen",Events & festivals / Etkinlikler & festivaller;Local experiences / Yerel deneyimler,3,Save the post / Gönderiyi kaydederim;Send it to friends / Arkadaşlarıma gönderirim,2,Partially / Kısmen,Searching social media again / Sosyal medyada tekrar aratarak;Using Google Maps / Google Maps kullanarak,Yes / Evet,Yes / Evet,Definitely yes / Kesinlikle evet,
